time,v,w
0.10,-0.148,0.000
0.20,-0.288,-0.106
0.30,-0.336,-0.026
0.40,-0.367,0.053
0.50,-0.384,0.053
0.60,-0.384,0.053
0.70,-0.397,0.026
0.80,-0.393,0.000
0.90,-0.397,0.026
1.00,-0.397,0.026
1.10,-0.401,0.053
1.20,-0.397,0.026
1.30,-0.401,0.053
1.40,-0.401,0.053
1.50,-0.397,0.026
1.60,-0.401,0.000
1.70,-0.397,0.026
1.80,-0.397,0.026
1.90,-0.401,0.053
2.00,-0.401,0.053
2.10,-0.397,0.079
2.20,-0.401,0.000
2.30,-0.401,0.053
2.40,-0.397,0.026
2.50,-0.397,0.026
2.60,-0.397,0.026
2.70,-0.406,0.079
2.80,-0.401,0.053
2.90,-0.397,0.026
3.00,-0.406,0.026
3.10,-0.401,0.053
3.20,-0.397,0.026
3.30,-0.397,0.026
3.40,-0.406,0.026
3.50,-0.397,0.079
3.60,-0.406,0.026
3.70,-0.401,0.053
3.80,-0.397,0.026
3.90,-0.406,0.026
4.00,-0.401,0.053
4.10,-0.397,0.026
4.20,-0.406,0.026
4.30,-0.401,0.053
4.40,-0.401,0.053
4.50,-0.406,0.026
4.60,-0.397,0.026
4.70,-0.406,0.026
4.80,-0.397,0.026
4.90,-0.406,0.026
5.00,-0.397,0.026
5.10,-0.401,0.053
5.20,-0.410,0.053
5.30,-0.397,0.026
5.40,-0.401,0.053
5.50,-0.406,0.026
5.60,-0.401,0.000
5.70,-0.401,0.053
5.80,-0.397,0.026
5.90,-0.406,0.026
6.00,-0.410,0.053
6.10,-0.401,0.053
6.20,-0.406,0.026
6.30,-0.406,0.026
6.40,-0.397,0.026
6.50,-0.401,0.000
6.60,-0.406,0.079
6.70,-0.406,0.026
6.80,-0.401,0.053
6.90,-0.406,0.026
7.00,-0.406,0.026
7.10,-0.406,0.026
7.20,-0.401,0.000
7.30,-0.401,0.053
7.40,-0.406,0.026
7.50,-0.406,0.026
7.60,-0.401,0.053
7.70,-0.410,0.053
7.80,-0.410,0.000
7.90,-0.397,0.026
8.00,-0.410,0.000
8.10,-0.406,0.026
8.20,-0.401,0.053
8.30,-0.406,0.026
8.40,-0.410,0.053
8.50,-0.401,0.000
8.60,-0.406,0.026
8.70,-0.406,0.026
8.80,-0.401,0.000
8.90,-0.406,0.026
9.00,-0.401,0.053
9.10,-0.410,0.053
9.20,-0.406,0.026
9.30,-0.401,0.053
9.40,-0.410,0.000
9.50,-0.406,0.026
9.60,-0.401,0.000
9.70,-0.406,0.026
9.80,-0.410,0.053
9.90,-0.401,0.053
10.00,-0.406,0.026
